,Emergence,SIA,summed_probabilities,numSIA
1,ANG-HUI-1,CAF-2019-005,0,1
2,ANG-HUI-1,COD-2016-001,0,2
3,ANG-HUI-1,COD-2017-006,0,3
4,ANG-HUI-1,COD-2017-007,0,4
5,ANG-HUI-1,COD-2017-009,2.50E-05,5
6,ANG-HUI-1,COD-2017-011,0.00095,6
7,ANG-HUI-1,COD-2017-014,0.0013,7
8,ANG-HUI-1,COD-2018-005,0.0636,8
9,ANG-HUI-1,COD-2018-009,0.062325,9
10,ANG-HUI-1,COD-2018-010,0.419475,10
11,ANG-HUI-1,COD-2018-011,0.000175,11
12,ANG-HUI-1,COD-2018-013,0.26745,12
13,ANG-HUI-1,COD-2018-014,0.00255,13
14,ANG-HUI-1,COD-2018-015,0.001525,14
15,ANG-HUI-1,COD-2018-016,0.17715,15
16,ANG-HUI-1,COD-2018-017,0,16
17,ANG-HUI-1,COD-2019-003,0,17
18,ANG-HUI-1,COD-2019-012,0,18
19,ANG-HUI-1,COD-2019-013,0,19
20,ANG-HUI-1,COD-2019-015,0,20
21,ANG-HUI-1,COD-2019-016,0,21
22,ANG-HUI-1,COG-2016-005,0,22
23,ANG-HUI-1,ETH-2016-002,0,23
24,ANG-HUI-1,ETH-2018-003,0.000275,24
25,ANG-HUI-1,ETH-2018-004,0.000175,25
26,ANG-HUI-1,KEN-2018-003,1.00E-04,26
27,ANG-HUI-1,KEN-2018-004,0.000225,27
28,ANG-HUI-1,MOZ-2017-002,0,28
29,ANG-HUI-1,MOZ-2019-001,0,29
30,ANG-HUI-1,MOZ-2019-002,0,30
31,ANG-HUI-1,MOZ-2019-003,0,31
32,ANG-HUI-1,MOZ-2019-004,0,32
33,ANG-HUI-1,NER-2016-001,0,33
34,ANG-HUI-1,NER-2017-012,0,34
35,ANG-HUI-1,NER-2018-005,5.00E-05,35
36,ANG-HUI-1,NER-2018-006,2.50E-05,36
37,ANG-HUI-1,NER-2018-008,0,37
38,ANG-HUI-1,NGA-2016-018,0,38
39,ANG-HUI-1,NGA-2016-019,0,39
40,ANG-HUI-1,NGA-2016-021,0,40
41,ANG-HUI-1,NGA-2016-024,0,41
42,ANG-HUI-1,NGA-2016-025,0,42
43,ANG-HUI-1,NGA-2016-034,0,43
44,ANG-HUI-1,NGA-2017-020,0,44
45,ANG-HUI-1,NGA-2017-021,0,45
46,ANG-HUI-1,NGA-2017-024,0,46
47,ANG-HUI-1,NGA-2018-012,4.00E-04,47
48,ANG-HUI-1,NGA-2018-014,7.50E-05,48
49,ANG-HUI-1,NGA-2018-017,7.50E-05,49
50,ANG-HUI-1,NGA-2018-018,8.00E-04,50
51,ANG-HUI-1,NGA-2018-019,2.50E-05,51
52,ANG-HUI-1,NGA-2018-020,0.000375,52
53,ANG-HUI-1,NGA-2018-022,4.00E-04,53
54,ANG-HUI-1,NGA-2018-023,1.00E-04,54
55,ANG-HUI-1,NGA-2018-025,7.50E-05,55
56,ANG-HUI-1,NGA-2019-004,0,56
57,ANG-HUI-1,NGA-2019-007,0,57
58,ANG-HUI-1,NGA-2019-019,0,58
59,ANG-HUI-1,NGA-2019-024,0,59
60,ANG-HUI-1,SDN-2016-001,0,60
61,ANG-HUI-1,SOM-2017-011,0,61
62,ANG-HUI-1,SOM-2018-004,0,62
63,ANG-HUI-1,SOM-2018-007,0,63
64,ANG-HUI-1,SOM-2018-008,0,64
65,ANG-HUI-1,SOM-2018-009,0,65
66,ANG-HUI-1,SOM-2018-011,0,66
67,ANG-LNO-1,CAF-2019-005,0,1
68,ANG-LNO-1,COD-2016-001,0,2
69,ANG-LNO-1,COD-2017-006,8.00E-04,3
70,ANG-LNO-1,COD-2017-007,0.00115,4
71,ANG-LNO-1,COD-2017-009,0.002075,5
72,ANG-LNO-1,COD-2017-011,0.046,6
73,ANG-LNO-1,COD-2017-014,0.054825,7
74,ANG-LNO-1,COD-2018-005,0.2448,8
75,ANG-LNO-1,COD-2018-009,0.0994,9
76,ANG-LNO-1,COD-2018-010,0.3728,10
77,ANG-LNO-1,COD-2018-011,5.00E-04,11
78,ANG-LNO-1,COD-2018-013,0.114325,12
79,ANG-LNO-1,COD-2018-014,0.000525,13
80,ANG-LNO-1,COD-2018-015,0.000425,14
81,ANG-LNO-1,COD-2018-016,0.062025,15
82,ANG-LNO-1,COD-2018-017,0,16
83,ANG-LNO-1,COD-2019-003,0,17
84,ANG-LNO-1,COD-2019-012,0,18
85,ANG-LNO-1,COD-2019-013,0,19
86,ANG-LNO-1,COD-2019-015,0,20
87,ANG-LNO-1,COD-2019-016,0,21
88,ANG-LNO-1,COG-2016-005,0,22
89,ANG-LNO-1,ETH-2016-002,0,23
90,ANG-LNO-1,ETH-2018-003,0,24
91,ANG-LNO-1,ETH-2018-004,0,25
92,ANG-LNO-1,KEN-2018-003,0,26
93,ANG-LNO-1,KEN-2018-004,2.50E-05,27
94,ANG-LNO-1,MOZ-2017-002,0,28
95,ANG-LNO-1,MOZ-2019-001,0,29
96,ANG-LNO-1,MOZ-2019-002,0,30
97,ANG-LNO-1,MOZ-2019-003,0,31
98,ANG-LNO-1,MOZ-2019-004,0,32
99,ANG-LNO-1,NER-2016-001,0,33
100,ANG-LNO-1,NER-2017-012,0,34
101,ANG-LNO-1,NER-2018-005,0,35
102,ANG-LNO-1,NER-2018-006,0,36
103,ANG-LNO-1,NER-2018-008,0,37
104,ANG-LNO-1,NGA-2016-018,0,38
105,ANG-LNO-1,NGA-2016-019,0,39
106,ANG-LNO-1,NGA-2016-021,0,40
107,ANG-LNO-1,NGA-2016-024,0,41
108,ANG-LNO-1,NGA-2016-025,0,42
109,ANG-LNO-1,NGA-2016-034,0,43
110,ANG-LNO-1,NGA-2017-020,0,44
111,ANG-LNO-1,NGA-2017-021,0,45
112,ANG-LNO-1,NGA-2017-024,0,46
113,ANG-LNO-1,NGA-2018-012,5.00E-05,47
114,ANG-LNO-1,NGA-2018-014,2.50E-05,48
115,ANG-LNO-1,NGA-2018-017,0,49
116,ANG-LNO-1,NGA-2018-018,7.50E-05,50
117,ANG-LNO-1,NGA-2018-019,0,51
118,ANG-LNO-1,NGA-2018-020,0,52
119,ANG-LNO-1,NGA-2018-022,7.50E-05,53
120,ANG-LNO-1,NGA-2018-023,2.50E-05,54
121,ANG-LNO-1,NGA-2018-025,0,55
122,ANG-LNO-1,NGA-2019-004,0,56
123,ANG-LNO-1,NGA-2019-007,0,57
124,ANG-LNO-1,NGA-2019-019,0,58
125,ANG-LNO-1,NGA-2019-024,0,59
126,ANG-LNO-1,SDN-2016-001,0,60
127,ANG-LNO-1,SOM-2017-011,0,61
128,ANG-LNO-1,SOM-2018-004,0,62
129,ANG-LNO-1,SOM-2018-007,0,63
130,ANG-LNO-1,SOM-2018-008,0,64
131,ANG-LNO-1,SOM-2018-009,0,65
132,ANG-LNO-1,SOM-2018-011,0,66
133,ANG-LNO-2,CAF-2019-005,0,1
134,ANG-LNO-2,COD-2016-001,0,2
135,ANG-LNO-2,COD-2017-006,4.00E-04,3
136,ANG-LNO-2,COD-2017-007,0.000675,4
137,ANG-LNO-2,COD-2017-009,0.00155,5
138,ANG-LNO-2,COD-2017-011,0.05215,6
139,ANG-LNO-2,COD-2017-014,0.0648,7
140,ANG-LNO-2,COD-2018-005,0.32945,8
141,ANG-LNO-2,COD-2018-009,0.111,9
142,ANG-LNO-2,COD-2018-010,0.339725,10
143,ANG-LNO-2,COD-2018-011,5.00E-05,11
144,ANG-LNO-2,COD-2018-013,0.069975,12
145,ANG-LNO-2,COD-2018-014,0,13
146,ANG-LNO-2,COD-2018-015,0,14
147,ANG-LNO-2,COD-2018-016,0.0302,15
148,ANG-LNO-2,COD-2018-017,0,16
149,ANG-LNO-2,COD-2019-003,0,17
150,ANG-LNO-2,COD-2019-012,0,18
151,ANG-LNO-2,COD-2019-013,0,19
152,ANG-LNO-2,COD-2019-015,0,20
153,ANG-LNO-2,COD-2019-016,0,21
154,ANG-LNO-2,COG-2016-005,0,22
155,ANG-LNO-2,ETH-2016-002,0,23
156,ANG-LNO-2,ETH-2018-003,2.50E-05,24
