adm0_name,region,doses
ALGERIA,AFRO,2070221
BENIN ,AFRO,5946682
BOTSWANA,AFRO,714764
BURKINA FASO,AFRO,14872115
BURUNDI,AFRO,9871769
CAMEROON ,AFRO,26576360
CENTRAL AFRICAN REPUBLIC,AFRO,6276676
CHAD ,AFRO,26749906
COTE D'IVOIRE,AFRO,18552429
CONGO,AFRO,3397432
DEMOCRATIC REPUBLIC OF THE CONGO,AFRO,68264975
ETHIOPIA,AFRO,34093855
GHANA,AFRO,13017495
GUINEA,AFRO,3579087
GUINEA-BISSAU,AFRO,612515
KENYA ,AFRO,8159752
LIBERIA,AFRO,1818285
MALI,AFRO,9288032
MAURITANIA ,AFRO,1982389
MOZAMBIQUE,AFRO,6538986
NIGER,AFRO,34323794
NIGERIA,AFRO,561314001
RWANDA,AFRO,5074086
SENEGAL,AFRO,5436758
SIERRA LEONE,AFRO,3860287
UNITED REPUBLIC OF TANZANIA,AFRO,8202562
GAMBIA ,AFRO,746475
TOGO,AFRO,3509053
UGANDA ,AFRO,18703131
ZAMBIA ,AFRO,16808147
EGYPT,EMRO,38964799
DJIBOUTI ,EMRO,643941
SOMALIA,EMRO,12366846
TAJIKISTAN ,EURO,3363334
INDONESIA ,SEARO,12415310
