Source,Days
AFP,2
AFP,4
AFP,3
AFP,3
AFP,3
AFP,0
AFP,0
AFP,3
AFP,3
AFP,14
AFP,26
AFP,26
AFP,26
AFP,16
AFP,16
AFP,6
AFP,9
AFP,2
AFP,2
AFP,8
AFP,8
AFP,8
AFP,9
AFP,1
AFP,10
AFP,11
AFP,11
AFP,41
AFP,21
AFP,55
AFP,1
AFP,7
AFP,9
AFP,14
AFP,5
AFP,7
AFP,5
AFP,1
AFP,2
AFP,6
AFP,6
AFP,15
AFP,16
AFP,46
AFP,16
AFP,17
AFP,4
AFP,0
AFP,23
AFP,20
AFP,7
AFP,4
AFP,4
AFP,4
AFP,4
AFP,2
AFP,6
AFP,3
AFP,1
AFP,3
AFP,2
AFP,9
AFP,1
AFP,7
AFP,25
AFP,22
AFP,13
AFP,6
AFP,9
AFP,8
AFP,60
AFP,3
AFP,5
AFP,8
AFP,3
AFP,8
AFP,5
AFP,5
AFP,15
AFP,3
AFP,22
AFP,22
AFP,33
AFP,33
AFP,7
AFP,13
AFP,5
AFP,5
AFP,4
AFP,3
AFP,1
AFP,2
AFP,4
AFP,5
AFP,6
AFP,1
AFP,2
AFP,6
AFP,4
AFP,1
AFP,19
AFP,4
AFP,1
AFP,14
AFP,15
AFP,21
AFP,11
AFP,11
AFP,20
AFP,28
AFP,22
AFP,81
AFP,3
AFP,1
AFP,46
AFP,56
AFP,1
AFP,1
AFP,0
AFP,60
AFP,37
AFP,37
AFP,44
AFP,44
AFP,2
AFP,5
AFP,4
AFP,4
AFP,4
AFP,2
AFP,2
AFP,3
AFP,3
AFP,32
AFP,10
AFP,10
AFP,10
AFP,27
AFP,28
AFP,24
AFP,4
AFP,5
AFP,12
AFP,2
AFP,7
AFP,5
AFP,5
AFP,5
AFP,6
AFP,6
AFP,7
AFP,1
AFP,3
AFP,0
AFP,6
AFP,6
AFP,63
AFP,0
AFP,0
AFP,1
AFP,1
AFP,13
AFP,6
AFP,9
AFP,9
AFP,10
AFP,9
AFP,11
AFP,10
AFP,11
AFP,10
AFP,3
AFP,10
AFP,10
AFP,10
AFP,7
AFP,7
AFP,11
AFP,11
AFP,11
AFP,11
AFP,26
AFP,17
AFP,17
AFP,16
AFP,15
AFP,12
AFP,11
AFP,14
AFP,16
AFP,24
AFP,24
AFP,25
AFP,23
AFP,25
AFP,14
AFP,15
AFP,13
AFP,10
AFP,4
AFP,27
AFP,10
AFP,11
AFP,11
AFP,4
AFP,4
AFP,4
AFP,35
AFP,17
AFP,5
AFP,12
AFP,24
AFP,4
AFP,4
AFP,18
AFP,17
AFP,17
AFP,18
AFP,18
AFP,19
AFP,3
AFP,3
AFP,15
AFP,18
AFP,2
AFP,25
AFP,1
AFP,2
AFP,0
AFP,13
AFP,19
AFP,15
AFP,15
AFP,8
AFP,7
AFP,9
AFP,22
AFP,23
AFP,18
AFP,31
AFP,36
AFP,24
AFP,26
AFP,33
AFP,33
AFP,33
AFP,91
AFP,76
AFP,26
AFP,47
AFP,139
AFP,138
AFP,142
AFP,16
AFP,20
AFP,10
AFP,1
AFP,9
AFP,12
AFP,13
AFP,27
AFP,25
AFP,9
AFP,6
AFP,12
AFP,34
AFP,33
AFP,14
AFP,84
AFP,44
AFP,13
AFP,11
AFP,11
AFP,21
AFP,21
